"","week_of","region","mmwr","weighted_ili","per_ili","ath_ili","twe_ili"
"1","2017-10-02","National",201740,1.26589,1.85132709927269,0.765356074351106,NA
"2","2017-10-02","Region 1",201740,0.714489,1.82648401826484,0.625372837542255,NA
"3","2017-10-02","Region 2",201740,1.52964,1.43472022955524,0.826187471792652,NA
"4","2017-10-02","Region 3",201740,0.926452,2.12585034013605,0.818757302547826,NA
"5","2017-10-09","National",201741,1.30479,1.86762144377782,0.784332820442904,NA
"6","2017-10-09","Region 1",201741,0.797907,1.6304347826087,0.637250687757909,NA
"7","2017-10-09","Region 2",201741,1.63699,2.63543191800879,0.738532110091743,NA
"8","2017-10-09","Region 3",201741,0.990782,1.31578947368421,0.872976949485042,NA
"9","2017-10-16","National",201742,1.34075,1.6,0.819844965214911,NA
"10","2017-10-16","Region 1",201742,0.796885,1.05170902716915,0.692203906845779,NA
"11","2017-10-16","Region 2",201742,1.86708,1.3550135501355,0.831851663703328,NA
"12","2017-10-16","Region 3",201742,1.02534,1.26682501979414,0.790627687016337,NA
"13","2017-10-23","National",201743,1.51674,1.06643915964594,0.902917644982018,0.196632167920272
"14","2017-10-23","Region 1",201743,0.972133,1.03567318757192,0.720205496050017,0.245877454676589
"15","2017-10-23","Region 2",201743,2.09091,1.24610591900312,0.915499241545463,0.167858218360678
"16","2017-10-23","Region 3",201743,1.1191,1.42857142857143,0.967345728685782,0.193953680033755
"17","2017-10-30","National",201744,1.74583,1.54623547246084,0.98474239058255,0.183756930880222
"18","2017-10-30","Region 1",201744,0.948321,1.7,0.74034576813437,0.21809324194188
"19","2017-10-30","Region 2",201744,2.41627,1.47058823529412,0.950162673765158,0.154172193209571
"20","2017-10-30","Region 3",201744,1.1806,1.07142857142857,0.975812929521316,0.179085928827969
"21","2017-11-06","National",201745,1.88708,1.68059424326834,1.06521212999717,0.206028603469869
"22","2017-11-06","Region 1",201745,1.08227,1.71102661596958,0.77405348374792,0.22111564528017
"23","2017-11-06","Region 2",201745,2.39732,0.689655172413793,0.988073394495413,0.175003281311525
"24","2017-11-06","Region 3",201745,1.30465,1.59489633173844,0.958346037876478,0.198136563135779
"25","2017-11-13","National",201746,2.05923,1.14484818317571,1.18714255053215,0.000161785508009192
"26","2017-11-13","Region 1",201746,1.19375,0.99304865938431,0.831073739440273,NA
"27","2017-11-13","Region 2",201746,2.828,0.433526011560694,1.13558977261672,0.000693991422266021
"28","2017-11-13","Region 3",201746,1.581,0.795053003533569,1.12559168616678,NA
"29","2017-11-20","National",201747,2.27971,1.6421178343949,1.29070374343956,1.11969887607186
"30","2017-11-20","Region 1",201747,1.59658,1.36986301369863,0.972018081477578,0.742419762819881
"31","2017-11-20","Region 2",201747,2.83733,1.19225037257824,1.30492960248197,0.69397902929413
"32","2017-11-20","Region 3",201747,1.64013,1.31233595800525,1.17704089413713,0.909907546391531
"33","2017-11-27","National",201748,2.28379,2.12915536808276,1.29200349880001,0.403781362863137
"34","2017-11-27","Region 1",201748,1.53606,2.04290091930541,0.913986796896112,0.566736062919269
"35","2017-11-27","Region 2",201748,2.97265,1.29682997118156,1.34807977009492,0.43613707165109
"36","2017-11-27","Region 3",201748,1.60673,1.80772391125719,1.24819212678812,0.49090589121492
"37","2017-12-04","National",201749,2.58278,1.93187120858609,1.51273895665581,0.262168434039303
"38","2017-12-04","Region 1",201749,1.6577,1.82982616651418,1.01017138079978,0.421356101347231
"39","2017-12-04","Region 2",201749,3.15216,2.1978021978022,1.39630241778886,0.218645153994044
"40","2017-12-04","Region 3",201749,1.6323,1.05519480519481,1.44853044250269,0.249120392387868
"41","2017-12-11","National",201750,3.36558,2.68387625486581,2.12500983532125,0.389878929137937
"42","2017-12-11","Region 1",201750,1.82267,1.81268882175227,1.12901922766198,0.515527187921934
"43","2017-12-11","Region 2",201750,3.59161,1.05105105105105,1.55664403131842,0.267008662013287
"44","2017-12-11","Region 3",201750,1.83916,2.15439856373429,1.79124356331492,0.317434871687413
"45","2017-12-18","National",201751,4.73117,3.43477835404638,3.25122908662339,0.903889772842682
"46","2017-12-18","Region 1",201751,2.24475,1.58730158730159,1.35357018246003,0.74110326504929
"47","2017-12-18","Region 2",201751,4.3243,2.12765957446809,1.91815507363857,0.408931434280536
"48","2017-12-18","Region 3",201751,2.29733,3.1596925704526,2.8494475943086,0.585578654409621
"49","2017-12-25","National",201752,5.70943,3.86131517649167,4.37911657999703,0.750243298239405
"50","2017-12-25","Region 1",201752,2.82739,3.48399246704331,1.93215141636523,0.798306622316299
"51","2017-12-25","Region 2",201752,4.52747,2.74509803921569,2.75341678534842,0.473623716856248
"52","2017-12-25","Region 3",201752,3.53525,2.73092369477912,4.23049697126893,0.620021510119928
"53","2018-01-01","National",201801,5.74658,3.58559014595461,4.5644958802267,0.866166626692541
"54","2018-01-01","Region 1",201801,2.94107,2.14094558429973,2.29620782323082,0.834524149757073
"55","2018-01-01","Region 2",201801,4.93792,3.19693094629156,3.4112068323444,0.559883154819864
"56","2018-01-01","Region 3",201801,3.43385,2.63355906696764,4.88455833561029,0.61759831403897
"57","2018-01-08","National",201802,5.89207,2.95586021079325,5.01129013832546,1.20644351355812
"58","2018-01-08","Region 1",201802,2.86319,2.45098039215686,2.42496953437184,1.0799884493214
"59","2018-01-08","Region 2",201802,5.89362,2.2002200220022,3.42277931128105,0.909990108803165
"60","2018-01-08","Region 3",201802,3.70733,2.35546038543897,5.21229795857842,1.10084898325215
"61","2018-01-15","National",201803,6.51759,3.08995763767755,5.70463626873145,1.10526504304746
"62","2018-01-15","Region 1",201803,3.72799,1.70454545454545,3.34986693727931,1.07993895997183
"63","2018-01-15","Region 2",201803,6.831,2.65486725663717,5.13171682261889,0.949054891282901
"64","2018-01-15","Region 3",201803,4.75691,3.18339100346021,6.0238047903467,0.921247406117112
"65","2018-01-22","National",201804,7.16338,3.0699260943718,6.56510244199552,0.962512299469095
"66","2018-01-22","Region 1",201804,4.26588,2.39808153477218,4.20901758363233,1.1114797611148
"67","2018-01-22","Region 2",201804,8.44625,3.72526193247963,6.57400709586304,0.848998291095517
"68","2018-01-22","Region 3",201804,5.97045,3.13778990450205,7.12276393702501,0.918355585180103
"69","2018-01-29","National",201805,7.52133,3.06313328137178,7.20926321718623,1.31766673344424
